# year,dir,title,abstract
1984,anonymous,anonymous.1984,prints hello world where read is write
1984,decot,decot.1984,prints garbage and weird cpp defines - keywords for others
1984,laman,laman.1984,prints spiralling numbers laid out in columns
1984,mullender,mullender.1984,hardcoded vax and pdp-11 code to move :-) across the screen
1985,applin,applin.1985,one-liner to print hello world with execlp
1985,august,august.1985,cpp obfuscated & compressed recursive primes in binary
1985,lycklama,lycklama.1985,heavily cpped with o_oo identifiers that scrolls text right
1985,shapiro,shapiro.1985,two defines one 7-liner that results in a maze
1985,sicherman,sicherman.1985,rot13 with strange #defs that create comment headers etc.
1986,applin,applin.1986,hello world works under cc and /bin/sh and f77
1986,august,august.1986,struct-heavy e-computation with memory allocation with sbrk
1986,bright,bright.1986,hex dump with cpp compressed that uses lots of << for constants
1986,hague,hague.1986,morse code filter written with 'DIT DAH _DIT DIT_DAH'
1986,holloway,holloway.1986,prints hello world! via a recursive main
1986,marshall,marshall.1986,train engine-shaped program prints choo choo
1986,pawka,pawka.1986,prints 'obfuscated?' big using xyyyx idents
1986,stein,stein.1986,prints HHMMSS in UTC time
1986,wall,wall.1986,dvorak keyboard emulator
1987,biggar,biggar.1987,program defined on the command line
1987,heckbert,heckbert.1987,obfuscated fold program
1987,hines,hines.1987,counts goto's with all ids goto anagrams with all goto flow
1987,korn,korn.1987,one-liner that prints a message on a Un*x system
1987,lievaart,lievaart.1987,very good othello player
1987,wall,wall.1987,roman numeral -> decimal and vice versa conversion
1987,westley,westley.1987,individually palindromic lines prints a palindrome
1988,applin,applin.1988,massive #define that includes itself; prints table of primes
1988,dale,dale.1988,prints command lineusing lots of system calls
1988,isaak,isaak.1988,table driven table of the elements; cpp with self-inclusion
1988,litmaath,litmaath.1988,sorts each arg using only argc argv and 'while(<cond>);'
1988,phillipps,phillipps.1988,days of christmas heavily main() calling with tables
1988,reddy,reddy.1988,prints name of 'char *(*(foo[16])();' compressed
1988,robison,robison.1988,print e in any base using only -- >= and while()
1988,spinellis,spinellis.1988,include /dev/tty
1988,westley,westley.1988,prints '3.141' with circle made of '_-_-_-_'
1989,fubar,fubar.1989,self-reconstructing recompiling factorial program
1989,jar.1,jar.1.1989,Hello world as a C string
1989,jar.2,jar.2.1989,lisp interpreter that is compressed
1989,ovdluhe,ovdluhe.1989,monkey-typer following template with APE identifiers
1989,paul,paul.1989,print fibonacci base 2 by simulating turing machine
1989,robison,robison.1989,apl-expression interpreter (binary) written in C--
1989,roemer,roemer.1989,prints e with pi shaped layout with _31415 identifiers
1989,tromp,tromp.1989,squished tetris
1989,vanb,vanb.1989,one-liner prints all subsets of arguments
1989,westley,westley.1989,reversible & rot13able program that reverses and/or rot13s.
1990,baruch,baruch.1990,short prog to solve N-queens problem
1990,cmills,cmills.1990,squished blackjack game
1990,dds,dds.1990,basic interpreter that is heavily compressed
1990,dg,dg.1990,rot13 done with strange cpp macros
1990,jaw,jaw.1990,compress & atob standins
1990,pjr,pjr.1990,the quick brown fox... using CPP defines & structs of functions
1990,scjones,scjones.1990,trigraph-abusing self-reproducing program
1990,stig,stig.1990,nested-comment tester (all on command line)
1990,tbr,tbr.1990,simple compressed shell with silly layout
1990,theorem,theorem.1990,numerically solves the equation y'=f(x y)
1990,westley,westley.1990,poetic exchange between lovers that prints luvs me or not
1991,ant,ant.1991,compressed vi-like editor
1991,brnstnd,brnstnd.1991,sorta stack language
1991,buzzard,buzzard.1991,walk thru a maze from a first person point of view
1991,cdupont,cdupont.1991,prints a message without vowels
