# -1,All other cells (excluding year+winners_rank+winners_show) are JSON strings that must not contain commas NOR quotes NOR newlines.,,,,,,,,,
# -2,The year cells must be JSON numbers.  The winners_rank cells must be a JSON number or JSON null.  The winners_show cells must be JSON booleans.,,,,,,,,,
# -3,Empty cells are filled in with red and need to be filled in and are TBD.,,,,,,,,,
# -4,Any cell containing null is a JSON null value. Any cell containing true or false is a JSON boolean value.,,,,,,,,,
# year,dir,winners_rank,path,created_by,prog,filetype,ext,winners_show,display_via,winners_text
1984,anonymous,null,.winner.json,jwinner,null,json,json,false,null,null
1984,anonymous,10,index.html,readme2index,null,html,html,true,browser,click here first
1984,anonymous,300,1984_anonymous.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1984,decot,null,.winner.json,jwinner,null,json,json,false,null,null
1984,decot,10,index.html,readme2index,null,html,html,true,browser,click here first
1984,decot,300,1984_decot.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1984,laman,null,.winner.json,jwinner,null,json,json,false,null,null
1984,laman,10,index.html,readme2index,null,html,html,true,browser,click here first
1984,laman,300,1984_laman.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1984,mullender,null,.winner.json,jwinner,null,json,json,false,null,null
1984,mullender,10,index.html,readme2index,null,html,html,true,browser,click here first
1984,mullender,300,1984_mullender.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1985,applin,null,.winner.json,jwinner,null,json,json,false,null,null
1985,applin,10,index.html,readme2index,null,html,html,true,browser,click here first
1985,applin,300,1985_applin.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1985,august,null,.winner.json,jwinner,null,json,json,false,null,null
1985,august,10,index.html,readme2index,null,html,html,true,browser,click here first
1985,august,300,1985_august.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1985,lycklama,null,.winner.json,jwinner,null,json,json,false,null,null
1985,lycklama,10,index.html,readme2index,null,html,html,true,browser,click here first
1985,lycklama,300,1985_lycklama.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1985,shapiro,null,.winner.json,jwinner,null,json,json,false,null,null
1985,shapiro,10,index.html,readme2index,null,html,html,true,browser,click here first
1985,shapiro,300,1985_shapiro.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1985,sicherman,null,.winner.json,jwinner,null,json,json,false,null,null
1985,sicherman,10,index.html,readme2index,null,html,html,true,browser,click here first
1985,sicherman,300,1985_sicherman.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1986,applin,null,.winner.json,jwinner,null,json,json,false,null,null
1986,applin,10,index.html,readme2index,null,html,html,true,browser,click here first
1986,applin,300,1986_applin.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1986,august,null,.winner.json,jwinner,null,json,json,false,null,null
1986,august,10,index.html,readme2index,null,html,html,true,browser,click here first
1986,august,300,1986_august.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1986,bright,null,.winner.json,jwinner,null,json,json,false,null,null
1986,bright,10,index.html,readme2index,null,html,html,true,browser,click here first
1986,bright,300,1986_bright.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1986,hague,null,.winner.json,jwinner,null,json,json,false,null,null
1986,hague,10,index.html,readme2index,null,html,html,true,browser,click here first
1986,hague,300,1986_hague.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1986,holloway,null,.winner.json,jwinner,null,json,json,false,null,null
1986,holloway,10,index.html,readme2index,null,html,html,true,browser,click here first
1986,holloway,300,1986_holloway.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1986,marshall,null,.winner.json,jwinner,null,json,json,false,null,null
1986,marshall,10,index.html,readme2index,null,html,html,true,browser,click here first
1986,marshall,300,1986_marshall.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1986,pawka,null,.winner.json,jwinner,null,json,json,false,null,null
1986,pawka,10,index.html,readme2index,null,html,html,true,browser,click here first
1986,pawka,300,1986_pawka.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1986,stein,null,.winner.json,jwinner,null,json,json,false,null,null
1986,stein,10,index.html,readme2index,null,html,html,true,browser,click here first
1986,stein,300,1986_stein.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1986,wall,null,.winner.json,jwinner,null,json,json,false,null,null
1986,wall,10,index.html,readme2index,null,html,html,true,browser,click here first
1986,wall,300,1986_wall.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1987,biggar,null,.winner.json,jwinner,null,json,json,false,null,null
1987,biggar,10,index.html,readme2index,null,html,html,true,browser,click here first
