# year,dir,winners_rank,path,created_by,prog,filetype,winners_show,display_via,winners_text,ext
1984,anonymous,null,README.md,null,null,markdown,false,null,null,md
1984,anonymous,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1984,anonymous,null,.winner.json,jwinner,null,json,false,null,null,json
1984,anonymous,10,index.html,readme2index,null,html,true,browser,click here first,html
1984,anonymous,20,anonymous.c,null,main,c,true,github,winning source,c
1984,anonymous,30,Makefile,null,null,makefile,true,github,how to compile,null
1984,anonymous,40,anonymous.alt.c,null,alt,c,true,github,alternative source,c
1984,anonymous,50,anonymous.orig.c,null,orig,c,true,github,original source,c
1984,anonymous,100,1984-anonymous-tattoo.jpg,null,null,image,true,browser,source code tattoo,jpg
1984,anonymous,300,1984_anonymous.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1984,decot,null,README.md,null,null,markdown,false,null,null,md
1984,decot,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1984,decot,null,.winner.json,jwinner,null,json,false,null,null,json
1984,decot,10,index.html,readme2index,null,html,true,browser,click here first,html
1984,decot,20,decot.c,null,main,c,true,github,winning source,c
1984,decot,30,Makefile,null,null,makefile,true,github,how to compile,null
1984,decot,40,decot.alt.c,null,alt,c,true,github,alternative source,c
1984,decot,50,decot.orig.c,null,orig,c,true,github,original source,c
1984,decot,300,1984_decot.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1984,laman,null,README.md,null,null,markdown,false,null,null,md
1984,laman,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1984,laman,null,.winner.json,jwinner,null,json,false,null,null,json
1984,laman,10,index.html,readme2index,null,html,true,browser,click here first,html
1984,laman,20,laman.c,null,main,c,true,github,winning source,c
1984,laman,30,Makefile,null,null,makefile,true,github,how to compile,null
1984,laman,50,laman.orig.c,null,orig,c,true,github,original source,c
1984,laman,300,1984_laman.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1984,mullender,null,README.md,null,null,markdown,false,null,null,md
1984,mullender,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1984,mullender,null,.winner.json,jwinner,null,json,false,null,null,json
1984,mullender,10,index.html,readme2index,null,html,true,browser,click here first,html
1984,mullender,20,mullender.c,null,main,c,true,github,winning source,c
1984,mullender,30,Makefile,null,null,makefile,true,github,how to compile,null
1984,mullender,40,mullender.alt.c,null,alt,c,true,github,alternative source,c
1984,mullender,50,mullender.orig.c,null,orig,c,true,github,original source,c
1984,mullender,150,a.out.h,null,null,c,true,github,head file for system who lack it,h
1984,mullender,150,gentab.c,null,null,c,true,github,author tool to create constants,c
1984,mullender,300,1984_mullender.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1985,applin,null,README.md,null,null,markdown,false,null,null,md
1985,applin,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1985,applin,null,.winner.json,jwinner,null,json,false,null,null,json
1985,applin,10,index.html,readme2index,null,html,true,browser,click here first,html
1985,applin,20,applin.c,null,main,c,true,github,winning source,c
1985,applin,30,Makefile,null,null,makefile,true,github,how to compile,null
1985,applin,50,applin.orig.c,null,orig,c,true,github,original source,c
1985,applin,300,1985_applin.tar.bz2,mkwinnertbz2,null,tbz2,true,download,download winning source,bz2
1985,august,null,README.md,null,null,markdown,false,null,null,md
1985,august,null,.gitignore,null,null,gitignore,false,null,list of files that should not be committed under git,gitignore
1985,august,null,.winner.json,jwinner,null,json,false,null,null,json
