# year,dir,file_path,inventory_order,OK_to_edit,display_as,display_via_github,entry_text
1984,anonymous,anonymous.c,20,true,c,true,entry source
1984,anonymous,Makefile,30,true,makefile,true,entry Makefile
1984,anonymous,anonymous.alt.c,40,true,c,true,alternate code
1984,anonymous,anonymous.orig.c,50,false,c,true,original source
1984,anonymous,1984-anonymous-tattoo.jpg,100,true,image,false,source code tattoo
1984,anonymous,1984_anonymous.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1984,anonymous,README.md,4000000000,true,markdown,true,markdown source for this web page
1984,anonymous,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1984,anonymous,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1984,anonymous,.path,4000000000,false,path,true,directory path from top directory
1984,anonymous,index.html,4294967295,false,html,false,this web page
1984,decot,decot.c,20,true,c,true,entry source
1984,decot,Makefile,30,true,makefile,true,entry Makefile
1984,decot,decot.alt.c,40,true,c,true,alternate code
1984,decot,decot.orig.c,50,false,c,true,original source
1984,decot,1984_decot.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1984,decot,README.md,4000000000,true,markdown,true,markdown source for this web page
1984,decot,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1984,decot,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1984,decot,.path,4000000000,false,path,true,directory path from top directory
1984,decot,index.html,4294967295,false,html,false,this web page
1984,laman,laman.c,20,true,c,true,entry source
1984,laman,Makefile,30,true,makefile,true,entry Makefile
1984,laman,laman.orig.c,50,false,c,true,original source
1984,laman,try.sh,100,true,shellscript,true,script to try entry
1984,laman,1984_laman.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1984,laman,README.md,4000000000,true,markdown,true,markdown source for this web page
1984,laman,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1984,laman,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1984,laman,.path,4000000000,false,path,true,directory path from top directory
1984,laman,index.html,4294967295,false,html,false,this web page
1984,mullender,mullender.c,20,true,c,true,entry source
1984,mullender,Makefile,30,true,makefile,true,entry Makefile
1984,mullender,mullender.alt.c,40,true,c,true,alternate code
